,Academic,AcademicInstitution,Accommodation,Actor,AdministrativeDivision,Airline,Airport,AirportOperator,Appellation,AppointedRole,Appointee,Appointer,Architect,ArchitectureFirmPartner,ArmedForce,ArtSeries,Astronaut,Astronomer,Athlete,AutomobileCompany,AutomotiveDesigner,Award,AwardDiscipline,AwardJudge,AwardNominee,AwardPresentingOrganization,AwardWinner,BasketballCoach,BasketballConference,BasketballPlayer,BasketballTeam,Bassist,Blog,Blogger,BoardMember,BodyOfWater,Boxer,Brand,Bridge,Broadcast,BroadcastArtist,BroadcastContent,BroadcastDistributor,Building,BuildingComplex,BuildingFunction,CandyBarManufacturer,CauseOfDeath,Celebrity,CelestialObject,Cemetery,Chancellor,Chef,ChemicalCompound,ChivalricOrderMember,CityTown,Collector,College,CollegeCoach,CollegeUniversity,Comedian,ComicBookCreator,ComicBookInker,ComicBookPenciler,ComicBookPublisher,ComicBookSeries,ComicBookWriter,ComicStripArtist,ComicStripSyndicate,Company,CompanyAdvisor,CompanyDivision,CompanyFounder,CompanyShareholder,Composer,ComputerDesigner,ComputerScientist,ConcertTour,Conductor,ConsumerProduct,Country,CricketPlayer,Criminal,Cuisine,Cyclist,DedicatedWork,Dedicatee,Dedicator,Degree,Deity,DietFollower,DisasterVictim,Disease,DiseaseCause,DiseaseOrMedicalCondition,Election,EndorsedProduct,Engine,EnglishCivilParish,EnglishMetropolitanBorough,Facility,FashionDesigner,FashionLabel,FictionalJobTitle,FictionalUniverse,FictionalUniverseCreator,FieldOfStudy,Film,FilmActor,FilmArtDirector,FilmCharacter,FilmCinematographer,FilmCompany,FilmCostumerDesigner,FilmCrewmember,FilmCritic,FilmDirector,FilmDistributor,FilmEditor,FilmFestivalFocus,FilmMusicContributor,FilmProducer,FilmProductionDesigner,FilmScreeningVenue,FilmWriter,FootballCoach,FootballCompetition,FootballLeague,FootballManager,FootballOrganization,FootballPlayer,FootballTeam,FoundingFigure,FrenchDepartment,Game,GameDesigner,GamePublisher,GeographicFeature,GermanState,GermanUrbanDistrict,Golfer,GovernmentAgency,GovernmentalBody,GovernmentalJurisdiction,Governor,Guitarist,HallOfFameInductee,HistoricPlace,Hobbyist,HockeyPlayer,HockeyTeam,HonoraryDegreeRecipient,Hospital,House,HumanLanguage,Illustrator,IndonesianCity,InfectiousDisease,Invention,Inventor,Island,ItalianComune,JapaneseDesignatedCity,JobTitle,Journal,Journalist,Judge,Kingdom,Lake,Legislature,LiterarySchoolOrMovement,Location,LondonBorough,Lyricist,Magazine,ManufacturingPlant,MartialArt,MartialArtist,Mayor,MedicalSpecialty,MedicalTreatment,MemberOfParliament,MembershipOrganization,MeteorologicalService,MilitaryCommander,MilitaryPerson,MilitaryPost,MilitaryUnit,Model,Monarch,Mountain,MountainRange,Mountaineer,Museum,MusicalAlbum,MusicalArtist,MusicalGroup,MusicalGroupMember,MusicalPerformanceRole,NaturalOrCulturalPreservationAgency,Neighborhood,Newspaper,NoblePerson,Non-ProfitOrganisation,OfficeHolder,OlympicAthlete,OlympicBiddingCity,OlympicEvent,OlympicEventCompetition,OlympicHostCity,OlympicVenue,OperaCharacter,OperaDirector,OperatingSystemDeveloper,Orchestra,OrganismClassification,Organization,OrganizationSector,PeriodicalPublisher,Person,Philosopher,Physician,PlaceWithNeighborhoods,Planet,PoliticalAppointer,PoliticalDistrict,PoliticalParty,Politician,President,ProcessorManufacturer,ProductionCompany,Profession,ProfessionalField,ProfessionalSportsTeam,ProgrammingLanguageDesigner,ProgrammingLanguageDeveloper,ProjectParticipant,ProtectedArea,Protein,Protocol,ProtocolProvider,RadioNetwork,RadioStation,RecordLabel,RecordProducer,RecordingEngineer,RecurringCompetition,RecurringEvent,Region,Religion,ReligiousLeader,ReligiousOrganization,RiskFactor,River,RocketEngineDesigner,RocketManufacturer,Saint,School,SchoolDistrict,Scientist,ScottishCouncilArea,Senator,Skyscraper,SoccerClub,Software,SoftwareDeveloper,SoftwareLicense,Songwriter,Soundtrack,SouthKoreanCity,SpaceAgency,SpacecraftManufacturer,Sport,SportsAssociation,SportsFacility,SportsLeagueAwardWinner,SportsLeagueChampionship,SportsOfficial,SportsTeam,Stadium,StarSystemBody,Station,Surgeon,Symptom,TVActor,TVChannel,TVCharacter,TVDirector,TVNetwork,TVPersonality,TVProducer,TVWriter,TelevisionStation,TennisPlayer,TennisTournamentChampion,TheaterActor,TheaterDirector,TheatricalComposer,TheatricalLyricist,TouristAttraction,TradeUnion,TransportOperator,TransportTerminus,U.S.Congressperson,USCounty,USPresident,USState,USTerritory,USVicePresident,University,VentureFundedCompany,VideoGameActor,VideoGameDesigner,VideoGameDeveloper,VideoGamePublisher,VisualArtist,Waterfall,Website,WineRegion,Wrestler,Writer
LaurenLaCapra,,0.392141,,0.650576,1.810971,,,,,,0.511162,,,,,,,,,,,,,,1.280292,0.776593,2.495248,,,,,,,,0.839337,,,,,,0.725103,0.322401,,,,,,0.321177,1.463279,,,,,,,,,,,,0.319342,,,,,,,,,0.707151,,,0.549415,0.757418,,,,,,,0.675152,,,,,,,,,,,,,,0.321177,,,,,,,,,,,,,,2.703215,,,,,,,,1.075729,,,,0.722044,1.050219,,0.750709,1.069955,,,,,,,,,,,,,0.353522,,,,,,3.222813,,,0.511162,,,,,,,,,,,,,,0.671762,,,,,,,,,,,1.335782,,,,,,,,,,,,,,,,,,,,,,,,0.402702,,0.402702,,,,0.384452,,,,,,,,0.439907,,0.511162,,0.392141,,,0.384452,,,,,,2.205271,,,1.768251,,0.86413,,,,,,,,0.392141,,0.31824,,,,,,,0.402702,,,,,,,,,,,,,,,,,0.86413,,,,0.392141,,,,,,,,,,,,,,,,,,,3.583718,,,0.428212,,0.549415,1.625144,0.747554,,,,0.328175,,,,,,,,0.86413,0.793429,,1.017542,,,,1.189088,,,,,,,0.796947,1.425861,,
Sexyman469,0.307363,,,,1.506483,,,,,,,,,,,,,,0.961312,,,,,,0.310015,,0.955586,,,,,,,,,,,,,,0.310015,,,,,,,,0.958434,,,,,,,,,,,,0.310211,,,,,,,,,0.310941,,,,,0.310015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.928985,0.416492,,,,,,,,,0.713923,,0.617378,,,,,,,,,,0.652553,0.661804,,,,,,0.347914,,,,0.693433,0.344422,2.615311,,,,,,,,,,,0.347914,,,,,,,,,,,,,,,,,1.784969,,,,,,,,,,,,,,,,,,,,,,,,0.958439,,0.618774,,,,,,,,,0.48592,,,,,,,,,,,,,,,0.307363,,,,0.30664,,0.673508,0.329276,,,,,0.978586,,,,,,,,,,,0.310015,,,,0.713923,,,,,,,,,,0.48592,0.307363,,,,0.310941,,,,,,,,,,,,0.649149,,,0.978586,,,,,,1.568572,,,,,0.926075,,,,,,,,,,,,,,,,,,,,,0.319637,,,,,,,0.319637,,0.308759,
alonso_529,0.29639,,,0.202315,1.15557,,,,,,0.418729,0.293009,,,,,,,,,,,,,1.279162,,2.274816,,,,,,,,0.671502,,,,,0.397731,,,0.200903,,,,,0.209417,1.9909,,,,,,,,,,,,,,,,,,,,,0.197499,,,1.121045,,,,,,,,,,,,,,,,,,,,0.209417,,0.209417,,,,,,,,,,,,,,1.894016,,,0.277551,0.197499,,,,,0.200903,0.525993,,0.29639,,,,,,,,,,,,,,,,,0.203296,,,,,,1.636417,0.397695,,0.418729,,,,,,,,0.203296,,,,,,,,,,,,,,,,,1.636417,,0.200382,,,,,,,,,,,,0.198305,,,0.208575,,,,,,,0.208575,,,,,,0.197513,,,0.397074,,,,,,,0.418729,,,,,0.197499,,,0.200382,,0.496772,,,0.690704,0.907128,0.252996,1.928164,0.493391,,,,,,,,,,,,,,,,,,,,0.525993,,,,,,,,,,,0.29639,,0.635888,,,,,,,,,,,,,,,,,,,,,,,1.9909,,,,0.397731,1.076847,1.076847,,,,,0.202315,,,,,,,,1.127202,,0.293009,0.629577,,,,0.200903,,,,,,,0.200903,,,
IvankaOC,,,,1.598437,1.180828,,,,0.414301,,,0.333798,,,,,,,0.345373,,,,,,1.948771,,2.818204,,,,,,,,,,,,,1.019373,0.330866,,0.535635,,,,,,1.958453,,,,,,,,,,,,,,,,,,,,,,,,0.520736,,,,,,,,,,,,,,,0.538746,,,,,,,,,,,,,,,,,,,,,2.396598,,,,,,,,0.324116,0.535635,0.441362,,,0.649376,,0.347604,0.447793,,,,,,0.345373,,,,,,,,,,,,0.538746,2.897698,0.321775,,,,,,,,,,,,,,,,,,,,,,,,,0.538746,,0.855663,,,,,,,,,,,,,,,,,,,,,,,0.324116,0.980242,,0.330866,,0.538746,,,,,,,0.347604,,,0.347604,,,,,,,,,0.324116,,,,1.139077,,0.655573,0.414301,,0.655573,0.333798,,0.324116,,,,,,,,,,,,,,,,,,0.441362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.792624,,,0.447793,0.324116,0.904739,1.228855,,,,,,,,,,,,,0.333798,,0.333798,0.414301,,,,0.857408,,,,,,,0.535635,0.414301,,
AngryYuca,0.423798,,,3.961219,1.176333,,,,,,0.517222,,,,,,,,,,,,,,4.642148,,6.954088,,,,,,,,0.944627,,,,,0.847662,0.52496,,0.498816,,,,,,3.225906,,,,,,,,,,,,0.529206,,,,,,,,,,,,1.786484,,,,,,,,,,,,,,,0.432302,,,,,,,,,,,,,,,,,,,,,5.115282,,,,,,,,1.93228,0.498816,0.660743,,1.433878,2.523592,,,2.523592,,,,,,0.952365,,,,,,,,,,,,0.432302,1.176333,,,1.042182,,,,,,,,,,,,,,,,,,,,,,,0.432302,,1.176333,,,,,,,,,,,,,,0.424741,,,,,,,,,,1.597938,,,,0.432302,,,,0.421377,,,,,,,,0.517222,,,,,,,,,,0.423798,,,,0.51559,0.632084,1.392449,,,,,,,,,,,,,,,0.419835,,,,,,0.660743,,,,,,,,,,,0.423798,,1.392449,,,,,,,,,,,,,,,,,,,,,,,7.032273,,,1.450614,,2.201798,4.67005,1.876124,,,,,,,,,,,,1.392449,,,0.51559,,,,2.135666,,,,,,,1.701429,,,0.440534
TooTurntNelly,,,,,0.309068,,,,,,,,,,,,,,,,,,,,3.361413,0.312547,3.55944,,,,,,,,,,,,,0.312547,3.050036,0.312547,0.792899,,,,,,2.993373,,,,,,0.305498,,,,,,,,,,,,,,,,,,0.929284,,0.553974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.361413,,,,,,,,0.582292,0.792899,,,0.907735,0.612438,,,0.631173,,,,,,,,,,,,,,,,,,,0.309068,,0.297689,,,,,,,,,,,,,,,,,,,,,,,,,,0.601165,,,,,,0.305498,,,,,,,,,,,,,,,,,,3.725608,,1.840163,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309068,,,,,0.312547,,,,,,,,,,,,,,0.879649,,,,,,,,,,,,,,,,,,,,0.349655,,,,,,,,,,,,,,,,,,,,3.945266,,,,0.312547,0.880171,1.241831,0.290671,,,,0.30694,,,,,,,,,,,0.309068,,,,1.67445,,,,,,,1.331203,,,
natashalennard,,0.613226,,0.471438,1.602814,,,,,,,,,,,,,,,,,,,,1.806711,1.026198,1.748245,,,,,,,,0.905327,,,,,,0.835604,,,,,,,,1.335273,,,,,,,,,,,,0.499669,,,,,,,,,0.412972,,,0.97633,0.889633,,,,,,,0.435353,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.806711,,,,,,,,,,0.696134,,,0.471438,,0.471327,0.471438,,,,,,,,,,,,,,,0.61033,,0.410001,,2.875342,,0.411015,,,,,,,,,,,,,,,,,,,,,,,,,,1.560153,,,,,,,,,,,,,0.43098,,,,,,,,,,,0.835604,,0.411015,,,,0.412972,,,,,,,,,,0.43098,,0.613226,,,0.412972,,,,0.47658,,0.898546,,,0.90668,,0.43098,,,,,,,,0.613226,,,,,,,,,,,,,0.696134,,,,,,,,,,,,,,,,,0.613226,,,,,,,,,,,,,,,,,,,2.283372,,,,,0.499669,0.499669,0.499669,,,,,,,,,,,,,0.471327,,0.435353,,,,2.112883,,,,,,,1.08938,0.435353,,
paul_boyd,0.296297,,,0.491203,1.323246,,,,,,,,0.325084,0.325084,,,,0.296297,0.245378,,,,,,1.023466,,1.593974,,,,,,0.273639,,0.296297,,,0.275443,,,,,,,,,,,0.238924,,,,,,,,,,,,,,,,,,,,,,0.251103,,0.5954,,,,,,,,0.245424,,,,0.245378,,,,,,,,,,,,,,,,,,,,,,,,1.360552,,,,,,,,0.523052,,0.281798,,,0.252279,,,0.548576,,,,,0.251103,0.238072,,,,,,,,,,,,,1.599959,,,,,,,,,,,,,,,,,,,,,,,,0.953364,,,,1.220141,,,,,,,,,,0.343232,0.245424,0.401185,,,,,,,,,,,,0.726259,0.249263,0.238924,,,,,,,,0.245378,,,,0.379818,,,,0.275443,,,,,,0.251103,,,0.640263,,,,0.263075,0.668316,,0.275443,,,,,0.275443,0.275443,0.325084,,,,0.275443,,,,,,,,0.281798,,,,,,,,,,,0.296297,,,,,0.239747,0.275443,,,,,,,,0.251103,,,,,,,,,,,1.393253,,,0.252279,,0.244027,0.244027,0.252279,,,,0.238924,,,,,,,,,,,,,,,0.86504,,,0.275443,0.275443,0.235966,,0.853227,,,0.271668
SirKamBam,,,,0.444928,0.906519,,,,,,,,,,,,,,,,,,,,0.444928,,0.444928,,,,,,,,,,,,,0.405803,0.420354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444928,,,,,,,,0.444928,,,,,0.444928,,,0.444928,,,,,,,,,,,,,0.477266,,,,,,0.906519,,,,,,,,,,,,,,,,,0.477266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.818331,,0.420354,,,,,,,,,,,,0.429253,,,,,,,,,,,,,0.906519,,,,,,,,,,,,,,,,,,,,0.405803,,,,,,,,0.452402,,,,,,,,,,,,,,0.405011,,,,,,,,,,,,,,,,,,,,0.886812,,,,,,,,,,,,,,,,,,,,0.477266,,,,,,1.259209,,,,,,,0.666793,,,
SteampunkMuppet,,,,0.876238,0.618926,,,,,,,,,,,,,,1.743741,,,,,,1.29932,,1.29932,,,,,,,,,,,,,,,,,,,,,,0.876238,,,,,,,,,,,,,,,,,,,,,0.504484,,,,,,,,,,,,,,,,,,0.439125,,,,,,,,,,,,,,,,,,0.423082,,,1.946721,,,,,,,,,,,,,0.455668,,,0.439125,,,,,,0.436886,0.63512,,,,,,,,,,,,0.618926,0.573266,,0.441127,,,0.882864,,,,,,,,,,,,,,,,,,,,,,0.618926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.874361,,,,,,,,,,,,,,,,,,,,0.573266,0.618926,,1.944844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.497217,,0.63512,,,,,,,,,,0.504484,,,,,0.63512,,,,,,2.442328,,,0.455668,,,0.423082,0.423082,,,,,,,,,,,,0.497217,,,0.618926,,,,0.790091,0.42057,,,,,,0.790091,,,0.862207
