,follower,influencer,mention,score,t_id
0,31,erdmann_paul,1,31,614807708575907840
1,488,ashnextd00r,0,0,614807708575907840
2,29,ReyBee10,3,87,614807708575907840
3,72,ValenciaLyfe,1,72,614807708575907840
4,1013,theantifascist,0,0,614807708575907840
5,37,woody_barnes,1,37,614807708575907840
6,552,sugarRoyalty,0,0,614807708575907840
7,850,ErmisAntalis,0,0,614807708575907840
8,244,LorraineWales,1,244,614807708575907840
9,333,DarthSpader747,0,0,614807708575907840
10,78,kegansan,2,156,614807708575907840
11,596,MCPRfirm,1,596,614807708575907840
12,130,dswettjr,1,130,614807708575907840
13,16,immeena,1,16,614807708575907840
14,87,chely12339_mora,0,0,614807708575907840
15,238,mystery_nm,0,0,614807708575907840
16,44440,kanekos69,0,0,614807708575907840
17,160,fnytv,0,0,614807708575907840
18,230,djbrooksie76,1,230,614807708575907840
19,170,bevan_koopman,1,170,614807708575907840
20,17,hayls004,1,17,614807708575907840
21,449,QueenRaeChiefa,0,0,614807708575907840
22,2686,Iambepositive,0,0,614807708575907840
23,36,GhostMech,1,36,614807708575907840
24,21,Dirtysnurge,1,21,614807708575907840
25,1136,AfrikansUnite,0,0,614807708575907840
26,391,vickyram82,1,391,614807708575907840
27,403,Rebel_v_Machine,1,403,614807708575907840
28,155,48Ramrez,1,155,614807708575907840
29,99,scotswendigo,2,198,614807708575907840
30,4002,dwarfcraft,0,0,614807708575907840
31,534,redbeef,0,0,614807708575907840
32,674,USAjobs2015,0,0,614807708575907840
33,476,Hollowpointslug,0,0,614807708575907840
34,226,ChunksterBunny,0,0,614807708575907840
35,18,lollynco,1,18,614807708575907840
36,148,xoverr,1,148,614807708575907840
37,1017,adoreeadri,0,0,614807708575907840
38,237,voteproblack,0,0,614807708575907840
39,142,samanjj,3,426,614807708575907840
40,67,fishon914,1,67,614807708575907840
41,12870,SquingyUSG,1,12870,614807708575907840
42,43,jbrink2132,1,43,614807708575907840
43,11,CoaxumLamont,1,11,614807708575907840
44,858,hugoc3318,1,858,614807708575907840
45,1153,IainMac9,0,0,614807708575907840
46,482,shaunndogg,1,482,614807708575907840
47,141,BluTangKlan,0,0,614807708575907840
48,630,BillArtistGuy,1,630,614807708575907840
49,222,repunkamuy2,0,0,614807708575907840
50,873,BrendaSchory,0,0,614807708575907840
51,87,trabampoline,1,87,614807708575907840
52,27,littlexemilyj,1,27,614807708575907840
53,276,ColinInUrPocket,1,276,614807708575907840
54,120,Vickyran48,1,120,614807708575907840
55,195,pghcovert,0,0,614807708575907840
56,332,abardyn71,0,0,614807708575907840
57,276,DesertDandy,1,276,614807708575907840
58,657,knitchblack,0,0,614807708575907840
59,1078,RogueDynamo,0,0,614807708575907840
60,134,RussellSondheim,1,134,614807708575907840
61,99,pandemonium7,1,99,614807708575907840
62,51,jepiba27,1,51,614807708575907840
63,166,angburger27,1,166,614807708575907840
64,175,ErikKjelsrud,1,175,614807708575907840
65,54,Jon_Castellon15,1,54,614807708575907840
66,746,phendetta,0,0,614807708575907840
67,1099,_Missmovin0n,0,0,614807708575907840
68,296,Panther_Lotus,1,296,614807708575907840
69,431,Thai_Daishiki,1,431,614807708575907840
70,1108,E_Joyce,0,0,614807708575907840
71,785,inkonspicuo,0,0,614807708575907840
72,412,srstolz,0,0,614807708575907840
73,349,Tiredeyedspy,0,0,614807708575907840
74,47,1chesTinho,1,47,614807708575907840
75,270,jeffznikekb27,0,0,614807708575907840
76,2597,FABULOUSFRE34,0,0,614807708575907840
77,826,nikkicamcam,1,826,614807708575907840
78,80,johnlennoxad,1,80,614807708575907840
79,224,samra_bobby,1,224,614807708575907840
80,314,Wednesthey,1,314,614807708575907840
81,11,dvlprofakidsmnd,1,11,614807708575907840
82,682,BDExecutive,1,682,614807708575907840
83,688,UFOmar,0,0,614807708575907840
84,270,RingoBeatz,1,270,614807708575907840
85,3317,baileynutrition,0,0,614807708575907840
86,27,longbeachjorge,1,27,614807708575907840
87,21,tom_wieler,1,21,614807708575907840
88,125,c53da2dc5e86410,1,125,614807708575907840
89,81,montserrathr14,0,0,614807708575907840
90,955,res0xhdb2,0,0,614807708575907840
91,223,spartakus_x,0,0,614807708575907840
92,932,MJKellySmith,0,0,618798114825220097
93,2119,makehacklearn,0,0,618798114825220097
94,652,jenn976,0,0,618798114825220097
95,42,NA_Bridget,1,42,618798114825220097
96,50,thetotalgeorgie,1,50,618798114825220097
97,162,slcboston,1,162,618798114825220097
98,224,gregyouraverage,0,0,618798114825220097
99,1683,BevVincent,0,0,618798114825220097
100,57,bara_godzilla,1,57,618798114825220097
101,976,richardadalton,0,0,618798114825220097
102,20,cetacean_needed,1,20,618798114825220097
103,3163,FearsomeCritter,0,0,618798114825220097
104,39,nineohtoo,1,39,618798114825220097
105,735,tadywankenobi,1,735,618798114825220097
106,674,nothingistrue,1,674,618798114825220097
107,35,oratoryrupture,1,35,618798114825220097
108,31,asmith1024,1,31,618798114825220097
109,264,robsog,1,264,618798114825220097
110,87,miss_erychick,1,87,618798114825220097
111,1204,DLitz,1,1204,618798114825220097
112,664,axfelix,0,0,618798114825220097
113,77,CorwinB87,1,77,618798114825220097
114,222,midgetsaregems,1,222,618798114825220097
115,16,ldalia2082,9,144,618798114825220097
116,203,AwesomeRob,0,0,618798114825220097
117,273,BonnieMcKernan,1,273,618798114825220097
118,966,bonapart100,0,0,618798114825220097
119,2741,PnubK1,0,0,618798114825220097
120,487,frigging_riffin,0,0,618798114825220097
121,30,topazirradiated,1,30,618798114825220097
