,t_date,t_favorites,t_hashtags,t_id,t_mentions,t_retweets,t_text,t_url,w_authors,w_date,w_genre,w_id,w_link,w_show,w_tags_event,w_tags_location,w_tags_organization,w_tags_person,w_tags_section,w_tags_story_type,w_tags_topic,w_title
0,2015-06-27 14:49:14,814,FreeBree,614807708575907840,,1204,People tweet #FreeBree in support of the black woman who removed S.C.’s Confederate flag http://t.co/n2DtA16cRn http://t.co/fBNwMadfU6,http://t.co/n2DtA16cRn,"""John Walker""","""2015-06-27T14:47:10+00:00",story,157774,http://fusion.net/story/157774,,,"""USA""",,,"""News""",,,Woman arrested after removing South Carolina's Confederate flag
1,2015-07-08 15:05:41,785,,618798114825220097,,1010,We made a Chrome extension to add actual Donald Trump quotes to every mention of his name: http://t.co/HIaF9dt6RG http://t.co/WLHYGGABg7,http://t.co/HIaF9dt6RG,"""Patrick Hogan""","""2015-07-08T15:00:29+00:00",story,162656,http://fusion.net/story/162656,,,"""USA""",,"""Donald Trump""","""News""","""Interactives""","""Politics"",""US Politics""","We made a Chrome extension to add real, ridiculous Donald Trump quotes to every mention of his name"
2,2015-07-05 23:42:24,615,USA,617840986006401024,,444,"What's this dude's name?
RT for Dylan
FAV for Cody
#USA #FIFAWWC http://t.co/w7zW6IMnDY",,,,,,,,,,,,,,,
3,2015-07-18 20:55:24,351,,622509999277871104,,340,A 6-year-old totally owned the Financial Times over a Minecraft error http://t.co/dx3Px9vrbd http://t.co/GopotJnOLB,http://t.co/dx3Px9vrbd,"""Kevin Roose""","""2015-07-12T16:56:45+00:00",story,165400,http://fusion.net/story/165400,,,,,,"""News""",,"""minecraft""",A 6-year-old totally owned the Financial Times over a 'Minecraft' error
4,2015-07-11 17:55:35,197,,619928034959880192,,298,"Inside the moaning, dripping world of Minion porn http://t.co/dYSfCShSXa http://t.co/rIJCuWtd9V",http://t.co/dYSfCShSXa,"""Charles Pulliam-Moore""","""2015-07-08T17:50:39+00:00",story,162884,http://fusion.net/story/162884,,,,,,"""News""",,"""Movies"",""Sex"",""sexuality""","Inside the moaning, dripping world of Minion porn"
5,2015-07-01 14:55:58,149,,616258951219273728,,226,"WATCH: How black women experience police violence.
https://t.co/9eSknQHHD5",https://t.co/9eSknQHHD5,,,,,,,,,,,,,,
6,2015-06-25 05:55:17,118,,613948557859667968,,214,More Americans have been killed by white supremacists than Muslim extremists since 9/11 http://t.co/D90pXAHfn1 http://t.co/uvk5pve4JF,http://t.co/D90pXAHfn1,"""Nidhi Prakash""","""2015-06-24T15:45:11+00:00",story,155989,http://fusion.net/story/155989,,,,,,"""News""",,"""Crime"",""Terrorism"",""Racism""",Report: More Americans have been killed by white supremacists than Muslim extremists since 9\/11
7,2015-07-05 22:51:59,183,FIFAWWC,617828296433213440,,178,It seems Sepp Blatter found a way to watch #FIFAWWC final while still avoiding the U.S. government. Impressive. http://t.co/1quzEDzhy6,,,,,,,,,,,,,,,
8,2015-06-22 16:50:06,168,,613026185321144320,,121,"WATCH: Science says helping others makes humans happiest. 

🌟🔬Thank you, Science!🔬🌟
https://t.co/FlEK3wEea5",https://t.co/FlEK3wEea5,,,,,,,,,,,,,,
9,2015-06-28 17:06:12,83,,615204562715213824,,120,"Haiti just won a hockey world championship http://t.co/PwC4FmOoaF No, seriously! http://t.co/l4nOvoJwDF",http://t.co/PwC4FmOoaF,"""Tim Rogers""","""2015-06-28T16:51:01+00:00",story,157960,http://fusion.net/story/157960,,,"""Latin America"",""Haiti""",,,"""Latin America""",,,Haiti wins hockey world championship ... seriously
